Accelerometor Data,Action
"[[0.42134401202201843, 0.2298240065574646, 1.3023359775543213], [-0.2298240065574646, -0.7277759909629822, 0.6511679887771606]]",jumping
"[[3.217535972595215, -0.3447360098361969, -1.6470719575881958], [-0.2298240065574646, -0.7277759909629822, 0.6511679887771606]]",jumping
"[[3.217535972595215, -0.3447360098361969, -1.6470719575881958], [-0.2298240065574646, -0.7277759909629822, 0.6511679887771606]]",jumping
"[[3.217535972595215, -0.3447360098361969, -1.6470719575881958], [-0.2298240065574646, -0.7277759909629822, 0.6511679887771606]]",jumping
"[[3.217535972595215, -0.3447360098361969, -1.6470719575881958], [4.3666558265686035, 1.723680019378662, -1.6853760480880737]]",jumping
"[[19.5350399017334, 7.699103832244873, -2.9111039638519287], [4.3666558265686035, 1.723680019378662, -1.6853760480880737]]",jumping
"[[19.5350399017334, 7.699103832244873, -2.9111039638519287], [4.3666558265686035, 1.723680019378662, -1.6853760480880737]]",jumping
"[[19.5350399017334, 7.699103832244873, -2.9111039638519287], [-1.034208059310913, -11.29967975616455, -1.570464015007019]]",jumping
"[[8.005536079406738, 0.07660800218582153, -0.6894720196723938], [-1.034208059310913, -11.29967975616455, -1.570464015007019]]",jumping
"[[8.005536079406738, 0.07660800218582153, -0.6894720196723938], [-1.034208059310913, -11.29967975616455, -1.570464015007019]]",jumping
"[[8.005536079406738, 0.07660800218582153, -0.6894720196723938], [-8.695008277893066, -19.5350399017334, -10.303775787353516]]",jumping
"[[8.005536079406738, 0.07660800218582153, -0.6894720196723938], [-8.695008277893066, -19.5350399017334, -10.303775787353516]]",jumping
"[[8.005536079406738, 0.07660800218582153, -0.6894720196723938], [-8.695008277893066, -19.5350399017334, -10.303775787353516]]",jumping
"[[0.5362560153007507, 1.6853760480880737, 0.5362560153007507], [-8.695008277893066, -19.5350399017334, -10.303775787353516]]",jumping
"[[0.5362560153007507, 1.6853760480880737, 0.5362560153007507], [-8.695008277893066, -19.5350399017334, -10.303775787353516]]",jumping
"[[0.5362560153007507, 1.6853760480880737, 0.5362560153007507], [-8.695008277893066, -19.5350399017334, -10.303775787353516]]",jumping
"[[0.5362560153007507, 1.6853760480880737, 0.5362560153007507], [-8.695008277893066, -19.5350399017334, -10.303775787353516]]",jumping
"[[0.5362560153007507, 1.6853760480880737, 0.5362560153007507], [0.19152000546455383, -1.034208059310913, 0.7660800218582153]]",jumping
"[[0.5362560153007507, 1.6853760480880737, 0.5362560153007507], [0.19152000546455383, -1.034208059310913, 0.7660800218582153]]",jumping
"[[0.5362560153007507, 1.6853760480880737, 0.5362560153007507], [0.19152000546455383, -1.034208059310913, 0.7660800218582153]]",jumping
"[[6.85641622543335, 2.2599360942840576, -1.6087679862976074], [0.19152000546455383, -1.034208059310913, 0.7660800218582153]]",jumping
"[[6.85641622543335, 2.2599360942840576, -1.6087679862976074], [5.285952091217041, -0.8426880240440369, -0.30643200874328613]]",jumping
"[[6.85641622543335, 2.2599360942840576, -1.6087679862976074], [5.285952091217041, -0.8426880240440369, -0.30643200874328613]]",jumping
"[[19.5350399017334, 3.9836161136627197, -1.1491199731826782], [2.87280011177063, -18.960479736328125, 1.1491199731826782]]",jumping
"[[1.7619839906692505, 0.7277759909629822, 0.49795201420783997], [-2.5663681030273438, -0.7660800218582153, 0.0]]",jumping
"[[18.53913688659668, 3.3324480056762695, -3.6388800144195557], [-2.5663681030273438, -0.7660800218582153, 0.0]]",jumping
"[[18.53913688659668, 3.3324480056762695, -3.6388800144195557], [-3.830399990081787, -5.898816108703613, -1.264032006263733]]",jumping
"[[4.673088073730469, -0.1149120032787323, -0.30643200874328613], [-3.830399990081787, -5.898816108703613, -1.264032006263733]]",jumping
"[[4.673088073730469, -0.1149120032787323, -0.30643200874328613], [-3.830399990081787, -5.898816108703613, -1.264032006263733]]",jumping
"[[4.673088073730469, -0.1149120032787323, -0.30643200874328613], [-3.7537920475006104, -9.53769588470459, 4.711391925811768]]",jumping
"[[4.673088073730469, -0.1149120032787323, -0.30643200874328613], [-3.7537920475006104, -9.53769588470459, 4.711391925811768]]",jumping
"[[-1.3023359775543213, 0.15321600437164307, 2.106719970703125], [-3.7537920475006104, -9.53769588470459, 4.711391925811768]]",jumping
"[[-1.3023359775543213, 0.15321600437164307, 2.106719970703125], [-3.7537920475006104, -9.53769588470459, 4.711391925811768]]",jumping
"[[-1.3023359775543213, 0.15321600437164307, 2.106719970703125], [-2.2599360942840576, 0.2298240065574646, 2.834496021270752]]",jumping
"[[-1.3023359775543213, 0.15321600437164307, 2.106719970703125], [-2.2599360942840576, 0.2298240065574646, 2.834496021270752]]",jumping
"[[19.5350399017334, 5.4391679763793945, -3.2941439151763916], [-2.2599360942840576, 0.2298240065574646, 2.834496021270752]]",jumping
"[[19.5350399017334, 5.4391679763793945, -3.2941439151763916], [-2.2599360942840576, 0.2298240065574646, 2.834496021270752]]",jumping
"[[19.5350399017334, 5.4391679763793945, -3.2941439151763916], [-2.2599360942840576, 0.2298240065574646, 2.834496021270752]]",jumping
"[[19.5350399017334, 5.4391679763793945, -3.2941439151763916], [-0.03830400109291077, -18.80726432800293, -1.4938559532165527]]",jumping
"[[0.38304001092910767, 0.30643200874328613, -0.5745599865913391], [-0.03830400109291077, -18.80726432800293, -1.4938559532165527]]",jumping
"[[0.38304001092910767, 0.30643200874328613, -0.5745599865913391], [-0.03830400109291077, -18.80726432800293, -1.4938559532165527]]",jumping
"[[0.38304001092910767, 0.30643200874328613, -0.5745599865913391], [-0.03830400109291077, -18.80726432800293, -1.4938559532165527]]",jumping
"[[0.38304001092910767, 0.30643200874328613, -0.5745599865913391], [-0.6894720196723938, -3.10262393951416, -0.9192960262298584]]",jumping
"[[-2.6429760456085205, -1.1108160018920898, -0.2298240065574646], [-0.07660800218582153, -1.2257280349731445, 0.6894720196723938]]",jumping
"[[-2.6429760456085205, -1.1108160018920898, -0.2298240065574646], [-0.07660800218582153, -1.2257280349731445, 0.6894720196723938]]",jumping
"[[-2.6429760456085205, -1.1108160018920898, -0.2298240065574646], [-0.07660800218582153, -1.2257280349731445, 0.6894720196723938]]",jumping
"[[19.5350399017334, 6.741504192352295, -2.106719970703125], [2.2599360942840576, -19.5350399017334, -3.140928030014038]]",jumping
"[[19.5350399017334, 6.741504192352295, -2.106719970703125], [2.2599360942840576, -19.5350399017334, -3.140928030014038]]",jumping
"[[19.5350399017334, 6.741504192352295, -2.106719970703125], [2.2599360942840576, -19.5350399017334, -3.140928030014038]]",jumping
"[[0.30643200874328613, 0.42134401202201843, -0.42134401202201843], [2.2599360942840576, -19.5350399017334, -3.140928030014038]]",jumping
"[[0.30643200874328613, 0.42134401202201843, -0.42134401202201843], [-0.7277759909629822, -2.2599360942840576, -3.179231882095337]]",jumping
"[[-2.7195839881896973, 0.49795201420783997, 2.2216320037841797], [-0.7277759909629822, -2.2599360942840576, -3.179231882095337]]",jumping
"[[-2.7195839881896973, 0.49795201420783997, 2.2216320037841797], [-2.9494080543518066, -3.868704080581665, -1.1108160018920898]]",jumping
"[[19.5350399017334, 3.7154879570007324, -2.5663681030273438], [-2.9494080543518066, -3.868704080581665, -1.1108160018920898]]",jumping
"[[19.5350399017334, 3.7154879570007324, -2.5663681030273438], [-2.9494080543518066, -3.868704080581665, -1.1108160018920898]]",jumping
"[[19.5350399017334, 3.7154879570007324, -2.5663681030273438], [-1.8002879619598389, 0.6511679887771606, -0.8809919953346252]]",jumping
"[[19.5350399017334, 7.2394561767578125, -5.400864124298096], [-1.8002879619598389, 0.6511679887771606, -0.8809919953346252]]",jumping
"[[19.5350399017334, 7.2394561767578125, -5.400864124298096], [-1.8002879619598389, 0.6511679887771606, -0.8809919953346252]]",jumping
"[[19.5350399017334, 7.2394561767578125, -5.400864124298096], [-1.8002879619598389, 0.6511679887771606, -0.8809919953346252]]",jumping
"[[0.03830400109291077, 0.8426880240440369, -0.38304001092910767], [-7.5458879470825195, -12.104063987731934, -7.2011518478393555]]",jumping
"[[0.03830400109291077, 0.8426880240440369, -0.38304001092910767], [-0.15321600437164307, -5.51577615737915, -9.422783851623535]]",jumping
"[[0.03830400109291077, 0.8426880240440369, -0.38304001092910767], [-0.15321600437164307, -5.51577615737915, -9.422783851623535]]",jumping
"[[-3.485663890838623, -0.03830400109291077, 1.8385920524597168], [-0.15321600437164307, -5.51577615737915, -9.422783851623535]]",jumping
"[[-3.485663890838623, -0.03830400109291077, 1.8385920524597168], [-0.15321600437164307, -5.51577615737915, -9.422783851623535]]",jumping
"[[-3.485663890838623, -0.03830400109291077, 1.8385920524597168], [0.6511679887771606, -2.106719970703125, -2.796191930770874]]",jumping
"[[-3.485663890838623, -0.03830400109291077, 1.8385920524597168], [0.6511679887771606, -2.106719970703125, -2.796191930770874]]",jumping
"[[19.5350399017334, 9.346176147460938, -2.145024061203003], [0.6511679887771606, -2.106719970703125, -2.796191930770874]]",jumping
"[[19.5350399017334, 9.346176147460938, -2.145024061203003], [0.6511679887771606, -2.106719970703125, -2.796191930770874]]",jumping
"[[19.5350399017334, 9.346176147460938, -2.145024061203003], [-1.3789440393447876, -15.934464454650879, -3.0260159969329834]]",jumping
"[[0.7660800218582153, 0.5362560153007507, 0.07660800218582153], [-1.3789440393447876, -15.934464454650879, -3.0260159969329834]]",jumping
"[[0.7660800218582153, 0.5362560153007507, 0.07660800218582153], [-1.4938559532165527, -7.430975914001465, 4.4049601554870605]]",jumping
"[[-3.447360038757324, -1.4938559532165527, 0.30643200874328613], [-1.4938559532165527, -7.430975914001465, 4.4049601554870605]]",jumping
"[[-3.447360038757324, -1.4938559532165527, 0.30643200874328613], [-1.4938559532165527, -7.430975914001465, 4.4049601554870605]]",jumping
"[[-3.447360038757324, -1.4938559532165527, 0.30643200874328613], [-0.6128640174865723, -0.7660800218582153, 2.6046719551086426]]",jumping
"[[19.5350399017334, 7.622496128082275, -1.3406399488449097], [-0.6128640174865723, -0.7660800218582153, 2.6046719551086426]]",jumping
"[[19.5350399017334, 7.622496128082275, -1.3406399488449097], [-0.6128640174865723, -0.7660800218582153, 2.6046719551086426]]",jumping
"[[19.5350399017334, 7.622496128082275, -1.3406399488449097], [-0.6128640174865723, -0.7660800218582153, 2.6046719551086426]]",jumping
"[[19.5350399017334, 7.622496128082275, -1.3406399488449097], [-2.5663681030273438, -14.402303695678711, -2.489759922027588]]",jumping
"[[19.5350399017334, 7.622496128082275, -1.3406399488449097], [-2.5663681030273438, -14.402303695678711, -2.489759922027588]]",jumping
"[[12.104063987731934, 0.0, -1.034208059310913], [9.116352081298828, -19.5350399017334, -0.3447360098361969]]",jumping
"[[0.19152000546455383, 1.264032006263733, -0.07660800218582153], [9.116352081298828, -19.5350399017334, -0.3447360098361969]]",jumping
"[[0.19152000546455383, 1.264032006263733, -0.07660800218582153], [9.116352081298828, -19.5350399017334, -0.3447360098361969]]",jumping
"[[0.19152000546455383, 1.264032006263733, -0.07660800218582153], [-4.0602240562438965, -19.5350399017334, -13.98095989227295]]",jumping
"[[0.19152000546455383, 1.264032006263733, -0.07660800218582153], [-4.0602240562438965, -19.5350399017334, -13.98095989227295]]",jumping
"[[0.5362560153007507, 2.3365440368652344, 0.7277759909629822], [-4.0602240562438965, -19.5350399017334, -13.98095989227295]]",jumping
